Species,p-value,P_adj,Log2FC,Over-/under-representation
Kocuria.flava,2.17019200655352e-14,2.38721120720887e-12,1.754061270531694,UP
Deinococcus.sp..NW.56,5.00748739125242e-14,2.75411806518883e-12,2.0314021552351798,UP
Micropruina.glycogenica,1.6609469028661898e-12,3.0450693219213494e-11,1.240423104425851,UP
Rhodobacter.sphaeroides,4.3397101947620795e-12,5.96710151779786e-11,1.0616510432340007,UP
Propioniciclava.sp..HDW11,8.524845871095189e-12,8.22032374312273e-11,1.367067050629287,UP
Nocardioides.seonyuensis,8.96762590158843e-12,8.22032374312273e-11,1.272495008292278,UP
Kocuria.turfanensis,7.59629351938635e-12,8.22032374312273e-11,1.2543396389449022,UP
Tessaracoccus.flavus,1.0427108932308799e-11,8.822938327338229e-11,1.291875346278248,UP
Nocardioides.sp..CF8,1.9354918745002e-11,1.40884408432052e-10,1.1229408520529276,UP
Nocardioides.sp..HDW12B,2.04922775901167e-11,1.40884408432052e-10,1.2375467023487072,UP
Nocardioides.sp..zg.579,3.4910238852819496e-11,1.92006313690507e-10,1.071738441076132,UP
Kocuria.rosea,3.4096200076831496e-11,1.92006313690507e-10,1.2162505465962372,UP
Nocardioides.sp..R.3366,3.8092822113723894e-11,1.99533830119506e-10,1.0879012148786045,UP
Nocardioides.sp..JS614,4.3122570782348696e-11,2.15612853911743e-10,1.0603693165704229,UP
Tessaracoccus.sp..T2.5.30,1.26642771088265e-10,5.57228192788366e-10,1.4774620703878334,UP
Exiguobacterium.mexicanum,2.81988944704104e-10,1.1488438487945e-09,1.1896204740054088,UP
Ornithinimicrobium.flavum,4.2478640563923603e-10,1.6112587800109e-09,1.0909226253470647,UP
Geodermatophilus.obscurus,1.1355840690514501e-09,4.029491857924511e-09,2.398814967034453,UP
Chroococcidiopsis.thermalis,7.38088716090644e-08,2.19431780459381e-07,1.5282035611254452,UP
Cutibacterium.acnes,2.23414390093908e-05,5.58535975234769e-05,-2.689986551929051,DOWN
Corynebacterium.segmentosum,0.0006345016436983,0.0013959036161363,-2.285357901928034,DOWN
Acinetobacter.junii,0.0007456585177795,0.0016082830775636,-1.9541562070027092,DOWN
Staphylococcus.hominis,0.0015747031916763,0.0032077287237852,-1.7392428347215023,DOWN
Staphylococcus.arlettae,0.0062543366634622,0.0116606276776415,-1.5611757416541732,DOWN
Acinetobacter.indicus,0.0065017512189257,0.0119198772346972,-1.6536834038859256,DOWN
Malassezia.restricta,0.0095549970492935,0.0166833281813062,-3.421028685911776,DOWN
Brevibacterium.sp..CS2,0.0100066496656149,0.0171989291127756,-1.2821020980173223,DOWN
Cutibacterium.granulosum,0.0276184161774396,0.044983178557972,-2.621247839816657,DOWN
